iter	Passed	Remaining
0	50	10087
1	53	5262
2	54	3557
3	56	2755
4	58	2278
5	60	1950
6	62	1718
7	64	1551
8	67	1425
9	69	1314
10	71	1222
11	73	1147
12	75	1085
13	78	1039
14	81	1004
15	83	963
16	85	924
17	88	891
18	90	864
19	92	835
20	95	815
21	98	795
22	100	774
23	103	757
24	105	740
25	108	724
26	110	707
27	112	690
28	114	674
29	116	660
30	118	646
31	120	632
32	122	618
33	124	605
34	126	595
35	128	586
36	131	577
37	133	569
38	135	561
39	137	551
40	139	540
41	140	530
42	142	519
43	143	509
44	145	499
45	146	490
46	148	481
47	149	473
48	151	466
49	152	458
50	153	449
51	154	441
52	156	433
53	157	425
54	158	417
55	159	409
56	160	401
57	161	394
58	162	387
59	163	380
60	164	374
61	165	368
62	166	361
63	167	356
64	168	350
65	169	344
66	170	338
67	171	332
68	172	326
69	172	320
70	173	315
71	174	309
72	174	304
73	175	298
74	175	293
75	176	288
76	177	282
77	177	277
78	178	273
79	178	268
80	179	263
81	179	258
82	180	254
83	180	249
84	181	245
85	181	240
86	182	236
87	182	232
88	183	228
89	183	224
90	183	220
91	184	216
92	184	212
93	185	208
94	185	205
95	186	201
96	186	198
97	186	194
98	187	191
99	187	187
100	188	184
101	188	181
102	189	178
103	189	174
104	189	171
105	190	168
106	190	166
107	191	163
108	191	160
109	192	157
110	192	154
111	193	151
112	193	149
113	194	146
114	194	143
115	194	141
116	195	138
117	195	136
118	196	133
119	196	131
120	197	128
121	197	126
122	197	123
123	198	121
124	198	119
125	199	117
126	199	114
127	200	112
128	200	110
129	201	108
130	201	106
131	202	104
132	202	102
133	203	100
134	203	98
135	204	96
136	204	94
137	205	92
138	205	90
139	205	88
140	206	86
141	206	84
142	207	82
143	207	80
144	208	78
145	208	77
146	208	75
147	209	73
148	209	71
149	210	70
150	210	68
151	211	66
152	211	64
153	211	63
154	212	61
155	212	60
156	213	58
157	213	56
158	214	55
159	214	53
160	214	52
161	215	50
162	215	48
163	216	47
164	216	45
165	217	44
166	217	42
167	217	41
168	218	40
169	218	38
170	219	37
171	219	35
172	220	34
173	220	32
174	221	31
175	221	30
176	222	28
177	222	27
178	223	26
179	223	24
180	223	23
181	224	22
182	224	20
183	225	19
184	225	18
185	226	17
186	226	15
187	227	14
188	227	13
189	228	12
190	228	10
191	229	9
192	229	8
193	230	7
194	230	5
195	231	4
196	231	3
197	232	2
198	232	1
199	233	0
