umbral,min_silencio_ms,c0_error,c1_error,promedio
0.7,200,6.3,2.26,4.28
0.8,250,6.29,2.29,4.29
0.8,200,6.35,2.25,4.3
0.7,250,6.26,2.36,4.31
0.6,200,6.32,2.35,4.34
0.9,250,6.39,2.31,4.35
0.6,250,6.28,2.48,4.38
0.9,200,6.45,2.35,4.4
0.5,200,6.39,2.47,4.43
0.8,300,6.23,2.63,4.43
0.9,300,6.32,2.57,4.44
0.7,300,6.22,2.72,4.47
0.5,250,6.36,2.64,4.5
0.5,150,6.5,2.56,4.53
0.6,150,6.45,2.61,4.53
0.4,150,6.54,2.59,4.56
0.4,200,6.44,2.68,4.56
0.6,300,6.3,2.84,4.57
0.7,150,6.45,2.7,4.58
0.4,250,6.44,2.84,4.64
0.5,300,6.39,2.95,4.67
0.8,150,6.52,2.85,4.68
0.4,100,6.61,2.77,4.69
0.5,100,6.57,2.82,4.69
0.6,100,6.53,2.9,4.72
0.3,150,6.64,2.82,4.73
0.7,100,6.53,3.0,4.76
0.8,500,6.33,3.2,4.76
0.3,100,6.69,2.87,4.78
0.4,300,6.48,3.08,4.78
0.7,500,6.37,3.19,4.78
0.3,200,6.58,3.05,4.81
0.9,500,6.37,3.26,4.81
0.6,500,6.44,3.23,4.84
0.8,100,6.6,3.13,4.86
0.3,250,6.58,3.15,4.87
0.9,150,6.65,3.09,4.87
0.5,500,6.55,3.27,4.91
0.8,800,6.52,3.37,4.95
0.9,800,6.52,3.42,4.97
0.3,300,6.65,3.32,4.98
0.7,800,6.59,3.38,4.99
0.4,500,6.66,3.34,5.0
0.9,100,6.74,3.36,5.05
0.6,800,6.7,3.43,5.06
0.5,800,6.81,3.49,5.15
0.3,500,6.82,3.5,5.16
0.4,800,6.92,3.6,5.26
0.3,800,7.09,3.81,5.45
