version,split,canal,clase,error,perdida,falsa
normalizado,train,0,humana,9.18,8.61,0.57
normalizado,train,0,IA,4.38,2.15,2.23
normalizado,train,1,humana,2.46,0.61,1.85
normalizado,train,1,IA,2.13,0.68,1.44
normalizado,val,0,humana,6.05,5.52,0.53
normalizado,val,0,IA,3.71,1.79,1.91
normalizado,val,1,humana,2.54,0.54,2.0
normalizado,val,1,IA,2.27,0.88,1.39
crudo,train,0,humana,9.15,8.57,0.58
crudo,train,0,IA,4.68,2.05,2.62
crudo,train,1,humana,2.44,0.6,1.84
crudo,train,1,IA,2.11,0.68,1.42
crudo,val,0,humana,6.02,5.49,0.53
crudo,val,0,IA,4.49,1.71,2.78
crudo,val,1,humana,2.54,0.53,2.01
crudo,val,1,IA,2.26,0.88,1.37
